Project Name,Project ID,Context,Context ID,Excavated,Deposit Type,Unit Type,Feature Type,Feature Number,Actual Measured Volume(liters),Artifact Presence,C A Plowzone Phase,Context Length,Context Width,DAACS Phase,DAACS Stratigraphic Group,DAACS Stratigraphic Group Interpretation,Data Entry Notes,Date Closed,Date Opened,Excavated By,Excavator Interpretation,Excavator Phase,Excavator Sediment Description,F S Number,Level Designation,Level Type,Master Context Interpretation,Master Context Number,Maximum Lithostratigraphic Thickness,Photograph,Plan Drawings,Profile Drawings,Quadrat ID,Quadrat Length,Quadrat Width,Recorded By
John Rutledge House,1310,01,1310-01,Yes,Fill,Quadrat/Unit,,,,Yes,,5,5,,,,ARL 15301,1/22/88,1/22/88,,,1,"A mixed deposit of black humus with gravel, followed by a layer of yellow-tan building sand.",1,TU01-Z1-L1,Natur.to Arbit.,,,,,,,TU01,5,5,Martha Zierden
John Rutledge House,1310,02,1310-02,Yes,Fill,Quadrat/Unit,,,,Yes,,5,5,,,,ARL 15302,1/22/88,1/22/88,,,1,"A mixed deposit of black humus with gravel, followed by a layer of yellow-tan building sand.",2,TU01-Z1-L2,Arbit.to Natur.,,,,,,,TU01,5,5,Martha Zierden
John Rutledge House,1310,03,1310-03,Yes,Fill,Quadrat/Unit,,,,Yes,,5,5,,,,ARL 15303,1/22/88,1/22/88,,,1,"Highly mottled yellow sand, which contained large chunks of coal, along with the grainy, pinkish-grey sand, characteristic of coal residue.",3,TU01-Z2,Natural,,,0.3,,,,TU01,5,5,Martha Zierden
John Rutledge House,1310,04,1310-04,Yes,Fill,Feature,"Trench, utility",1,,Yes,,,,,,,"ARL 15304. The feature was bisected along the pipe, and only the western half of the feature was excavated. Intruded into lower zones.",1/22/88,1/22/88,,A sewer pipe and associated construction trench.,1,"A trench consisted of highly mottled tan, grey, and yellow sand with large brick fragments, with in situ terracotta sewer pipe.",4,F1,Natural,,,,,,,,,,Martha Zierden
John Rutledge House,1310,05,1310-05,Yes,Fill,Quadrat/Unit,,,,Yes,,5,5,,,,ARL 15305,1/22/88,1/22/88,,A compaction of builders sand on top of a paved brick walk/driveway (F2),1,Even zone of compacted yellow sand,5,TU01-Z3,Natural,,,0.05,,,,TU01,5,5,Martha Zierden
John Rutledge House,1310,06,1310-06,Yes,"Floor, brick",Feature,"Paving, brick",2,,Yes,,,,,,,ARL 15301. Located in TU01.,1/22/88,1/22/88,,Paved brick walkway/driveway.,1,"Laid bricks in a running bond, oriented east-west.",6,F2,Natural,,,,,,,,,,Martha Zierden
John Rutledge House,1310,07,1310-07,Yes,Fill,Quadrat/Unit,,,,Yes,,5,5,,,,ARL 15307,1/22/88,1/22/88,,,2,Grey loamy sand with quantities of shell fragments,7,TU01-Z4,Natural,,,0.3,,,,TU01,5,5,Martha Zierden
John Rutledge House,1310,08,1310-08,Yes,Fill,Quadrat/Unit,,,,Yes,,5,5,,,,ARL 15308,1/22/88,1/22/88,,,2,"Similar to Zone 4, but was darker, loamier, and contained larger and denser cultural materials.",8,TU01-Z5-L1,Natur.to Arbit.,,,,,,,TU01,5,5,Martha Zierden
John Rutledge House,1310,09,1310-09,Yes,Fill,Quadrat/Unit,,,,Yes,,,,,,,ARL 15309,1/26/88,1/26/88,,,2,"Similar to Zone 4, but was darker, loamier, and contained larger and denser cultural materials.",9,TU01-Z5-L2,Arbitrary,,,,,,,TU01,5,5,Martha Zierden
John Rutledge House,1310,10,1310-10,Yes,Fill,Quadrat/Unit,,,,Yes,,5,5,,,,ARL 15130,1/26/88,1/26/88,,,2,"Similar to Zone 4, but was darker, loamier, and contained larger and denser cultural materials.",10,TU01-Z5-L3,Arbitrary,,,,,,,TU01,5,5,Martha Zierden
