WareID,Ware,ObjectTypeID,BeginDate,EndDate,CeramicMaterialID,id,Added,Source
130,North Devon Slipware,4,1600,1730,8,130,NA,DAACS
16,Colonoware,4,NA,NA,8,16,NA,DAACS
96,"Refined Stoneware, unidentifiable",4,NA,NA,3,96,NA,DAACS
1906823,Huveaune,4,NA,NA,8,1906823,NA,DAACS
131,Dutch Coarse Earthenware,4,NA,NA,NA,NA,NA,DAACS
127,"Porcelain, American Hard Paste",4,1820,2000,2,127,NA,DAACS
128,"Porcelain, English Hard Paste",4,1743,2000,NA,128,NA,DAACS
1,"Coarse Earthenware, unidentified",4,NA,NA,8,1,NA,DAACS
82,"Refined Earthenware, unidentifiable",4,NA,NA,1,82,NA,DAACS
101,Spanish Coarse Earthenware,4,NA,NA,8,101,NA,DAACS
90,"Refined Earthenware, modern",4,NA,NA,1,90,NA,DAACS
92,"Stoneware, unidentifiable",4,NA,NA,3,92,NA,DAACS
56,Burslem,4,1700,1725,3,56,NA,DAACS
115,Bristol Glaze Stoneware,4,NA,NA,3,115,NA,DAACS
45,"Porcelain, unidentifiable",4,NA,NA,2,45,NA,DAACS
103,"Caribbean Coarse Earthenware, hand built",4,NA,NA,8,103,NA,DAACS
116,"Caribbean Coarse Earthenware, wheel thrown",4,NA,NA,8,116,NA,DAACS
117,"Caribbean Coarse Earthenware, unid.",4,NA,NA,8,117,NA,DAACS
69,Unidentifiable,4,NA,NA,7,69,NA,DAACS
60,Jasperware Type,4,1774,2000,3,60,NA,DAACS
124,Mexican Coarse Earthenware,4,NA,NA,8,124,NA,DAACS
121,Vallauris,4,NA,NA,8,121,NA,DAACS
122,Biot,4,NA,NA,8,122,NA,DAACS
97,"Agate, refined (Whieldon-type)",4,1740,1775,1,97,NA,DAACS
52,American Stoneware,4,1750,1920,3,52,NA,DAACS
33,Bennington/Rockingham,4,1830,1900,1,33,NA,DAACS
61,Black Basalt,4,1750,1820,3,61,NA,DAACS
53,British Stoneware,4,1671,1800,3,53,NA,DAACS
125,Majolica,4,NA,NA,1,125,NA,DAACS
88,Canary Ware,4,1780,1835,1,88,NA,DAACS
99,Cauliflower ware,4,1760,1780,1,99,NA,DAACS
