TU,F S Number,Item,Part,Count,Comment,ACCOUNTED
8,146,UIDCEW,R,1,NA,NA
8,146,UIDCEW,B,5,NA,NA
8,146,OJ,B,57,NA,NA
8,146,OJGL,B,28,NA,NA
8,146,ORMIC,B,5,NA,NA
8,146,MARINE,B,1,POSSIBLE,NA
8,146,MEXRED,R,1,NA,NA
8,146,MEXRED,B,9,NA,NA
8,146,GUADA,R,1,NA,NA
8,146,GUADA,B,2,NA,NA
8,146,SLIPSTF,B,12,NA,NA
8,146,SLIPSTF,HA,3,NA,NA
8,146,SLIPMOR,B,1,NA,NA
8,146,ELMOR,BA,1,NA,NA
8,146,ELMOR,B,3,NA,NA
8,146,AGATE,R,1,NA,NA
8,146,AGATE,B,3,NA,NA
8,146,BLGCE,B,3,NA,NA
8,146,FAI,R,2,NA,NA
8,146,FAI,B,4,NA,NA
8,146,DELFTP,B,9,NA,NA
8,146,DELFTBW,B,11,NA,NA
8,146,BISQ,B,3,NA,NA
8,146,UIDTE,B,5,NA,NA
8,146,UIDMAJ,R,2,NA,NA
8,146,UIDMAJ,B,12,NA,NA
8,146,CP,R,1,NA,NA
8,146,CP,B,11,NA,NA
8,146,STODOM,R,2,NA,NA
8,146,STODOM,B,3,NA,NA
8,146,SEVBB,B,9,NA,NA
8,146,SLBW,B,1,NA,NA
8,146,MXCGC,BA,1,NA,NA
8,146,PUEPOLY,B,1,NA,NA
8,146,PUEBW,R,5,NA,NA
8,146,PUEBW,B,9,NA,NA
8,146,SABW,B,1,NA,NA
8,146,AUCILLA,B,1,NA,NA
8,146,PLAYA,B,2,NA,NA
8,146,CW,R,4,NA,NA
8,146,CW,B,50,NA,NA
8,146,CW,BA,2,NA,NA
8,146,PW,B,1,NA,NA
8,146,PWHP,B,1,NA,NA
8,146,PWSE,R,1,NA,NA
8,146,PWA,R,1,NA,NA
8,146,PWFB,B,2,NA,NA
8,146,PWTP,B,4,NA,NA
8,146,WW,B,1,NA,NA
8,146,WW,BA,1,NA,NA
8,146,WSGS,R,3,NA,NA
8,146,WSGS,B,7,NA,NA
8,146,WSGS,BA,2,NA,NA
8,146,UIDSW,B,2,BL/GY,NA
8,146,RHEN,B,1,NA,NA
8,146,PORMING,R,4,NA,NA
8,146,PORMING,B,7,NA,NA
8,146,POROG,R,1,NA,NA
8,146,POROG,B,3,NA,NA
8,244,OJGL,B,1,NA,Y
8,244,ORMIC,B,1,NA,N
8,244,MEXRED,B,1,NA,N
8,244,DELFTBW,R,1,NA,Y
8,244,DELFTBW,B,1,NA,Y
8,244,FAI,B,1,NA,Different
8,244,UIDMAJ,B,1,NA,Y
8,244,STODOM,B,1,NA,Y
8,244,CW,R,3,NA,Y
8,244,CW,B,19,NA,Y
8,244,CWHP,B,2,GAUDY HAND-PAINTED,Y
8,244,PW,B,1,NA,Y
8,244,REDWAR,B,1,NA,N
8,244,WSGS,R,1,NA,Y
8,244,WSGS,B,1,NA,Y
8,244,SGS,B,1,BR,Y
8,244,POROG,B,3,NA,Y
8,245,UIDCEW,R,1,NA,NA
8,245,UIDCEW,B,1,NA,NA
8,245,OJ,R,1,NA,NA
8,245,OJ,B,25,NA,NA
8,245,OJGL,B,6,NA,NA
8,245,SSJ,B,2,NA,NA
8,245,REDWAR,B,1,NA,NA
8,245,REDWAR,B,1,NA,NA
8,245,MEXRED,B,16,NA,NA
8,245,SLIPSTF,B,2,NA,NA
8,245,ELMOR,B,3,NA,NA
8,245,BLGRBACIN,R,1,NA,NA
8,245,MARINE,R,1,POSSIBLE,NA
8,245,DELFTBW,B,3,NA,NA
8,245,BISQ,B,2,NA,NA
8,245,UIDMAJ,B,1,NA,NA
8,245,SEVBB,B,1,NA,NA
8,245,MXCP,B,1,NA,NA
8,245,ABOPOLY,B,1,NA,NA
8,245,PUEPOLY,B,3,NA,NA
8,245,SABW,B,1,NA,NA
8,245,CW,R,1,NA,NA
8,245,CW,B,5,NA,NA
8,245,PWHP,B,2,EARLY,NA
8,245,AGATE,B,2,NA,NA
8,245,JACK,B,1,NA,NA
8,245,POREUR,B,1,NA,NA
8,246,UIDCEW,B,2,NA,NA
8,246,OJ,R,1,NA,NA
8,246,OJ,B,7,NA,NA
8,246,OJGL,BA,1,NA,NA
8,246,ORMIC,B,1,NA,NA
8,246,REDWAR,B,1,NA,NA
8,246,SLIPSTF,B,2,NA,NA
8,246,BISQ,B,1,NA,NA
8,246,FAI,B,1,NA,NA
8,246,UIDMAJ,R,1,NA,NA
8,246,SEVBB,B,1,NA,NA
8,246,CW,B,1,NA,NA
8,246,POREUR,BA,1,NA,NA
8,251,OJ,B,5,NA,NA
8,251,OJGL,B,2,NA,NA
8,251,REDWAR,B,1,NA,NA
8,251,MEXRED,R,1,NA,NA
8,251,SLIPSTF,R,1,NA,NA
8,251,ELMOR,B,1,NA,NA
8,251,DELFTBW,B,1,NA,NA
8,251,CP,B,1,NA,NA
8,251,FIGSP,B,1,NA,NA
8,251,CW,B,1,NA,NA
8,251,PW,B,1,NA,NA
8,260,OJ,B,4,NA,NA
8,260,OJGL,B,9,NA,NA
8,260,ELMOR,B,1,NA,NA
8,260,UIDGLCE,R,1,NA,NA
8,260,UIDMAJ,R,1,NA,NA
8,260,CP,B,1,NA,NA
8,260,SEVBB,B,3,NA,NA
8,260,MXCGC,B,1,NA,NA
8,260,ELMOR,B,1,NA,NA
8,252,UIDCEW,B,12,NA,NA
8,252,UIDCEW,R,2,NA,NA
8,252,MEXRED,B,1,NA,NA
8,252,SEVBB,R,1,NA,NA
8,252,TALLBW,B,1,NA,NA
8,252,PUEBW,B,1,NA,NA
8,253,OJ,B,2,NA,NA
8,253,OJGL,B,1,NA,NA
8,253,SLIPSTF,B,1,NA,NA
8,253,UIDMAJ,R,1,ORANGE AND BLUE,NA
8,253,CP,B,1,NA,NA
8,253,PUEBW,B,1,NA,NA
8,253,PW,B,1,NA,NA
8,253,SGS,B,1,BROWN WHITE,NA
8,254,OJ,B,1,NA,NA
8,254,OJGL,B,1,NA,NA
8,254,SLIPMOR,R,1,NA,NA
8,254,SLIPSTF,B,1,NA,NA
8,254,DELFT,B,1,NA,NA
8,254,UIDMAJ,B,1,DKBR/WH,NA
8,255,UIDCEW,B,1,NA,NA
8,255,OJGL,R,1,MIDDLE STYLE,NA
8,255,MEXRED,B,2,NA,NA
8,255,SLIPSTF,B,1,NA,NA
8,255,DELFT,B,2,NA,NA
8,255,DELFTBW,B,2,NA,NA
8,255,CP,B,1,NA,NA
8,255,SEVBB,B,1,NA,NA
8,256,OJ,B,1,NA,NA
8,256,UIDGLCE,B,1,NA,NA
8,256,DELFT,B,1,NA,NA
8,257,OJ,B,5,NA,NA
8,257,OJGL,B,1,NA,NA
8,257,SEVBB,B,1,NA,NA
8,257,SABW,R,1,NA,NA
8,257,PANBW,B,1,NA,NA
8,257,MXCGC,B,2,NA,NA
8,258,OJ,B,5,NA,NA
8,258,OJGL,B,2,NA,NA
8,258,SLIPSTF,B,1,NA,NA
8,258,CP,B,1,NA,NA
8,258,CW,B,2,NA,NA
8,259,OJGL,B,2,NA,NA
8,259,SSJ,B,1,NA,NA
8,259,REDWAR,B,1,FINE,NA
8,259,CP,B,1,NA,NA
8,259,SEVBB,B,1,NA,NA
8,259,PUEBW,R,1,NA,NA
8,259,PUEBW,B,1,NA,NA
8,266,OJ,B,9,NA,N
8,266,OJGL,B,1,NA,Y
8,266,SSJ,B,1,NA,NA
8,266,REDWAR,B,1,FINE,NA
8,266,MEXRED,R,1,NA,NA
8,266,MEXRED,B,3,NA,NA
8,266,SLIPSTF,B,1,NA,Y
8,266,BLGCE,HA,1,NA,Y
